Model,Accuracy,Log Loss,Draw Recall,ECE (Draw),Brier (Draw)
Baseline (Always Home),0.40789473684210525,21.34163687513515,0.0,,
Logistic Regression,0.4921052631578947,1.014869066333684,0.0,0.04571647429102929,0.18621064527506578
XGBoost,0.46578947368421053,1.04443169666156,0.1935483870967742,0.0596547250488871,0.19168542732006913
XGBoost Calibrated,0.4789473684210526,1.0255247252024173,0.0967741935483871,0.03338429459337794,0.1847938482830634
