Season,Date,MatchWeek,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2024-2025,2024-08-24,2,Tottenham,Everton,4,0,H
2024-2025,2024-08-24,2,Aston Villa,Arsenal,0,2,A
2024-2025,2024-08-25,2,Bournemouth,Newcastle,1,1,D
2024-2025,2024-08-25,2,Wolves,Chelsea,2,6,A
2024-2025,2024-08-25,2,Liverpool,Brentford,2,0,H
2024-2025,2024-08-31,3,Arsenal,Brighton,1,1,D
2024-2025,2024-08-31,3,Brentford,Southampton,3,1,H
2024-2025,2024-08-31,3,Everton,Bournemouth,2,3,A
2024-2025,2024-08-31,3,Ipswich,Fulham,1,1,D
2024-2025,2024-08-31,3,Leicester,Aston Villa,1,2,A
2024-2025,2024-08-31,3,Nott'm Forest,Wolves,1,1,D
2024-2025,2024-08-31,3,West Ham,Man City,1,3,A
2024-2025,2024-09-01,3,Chelsea,Crystal Palace,1,1,D
2024-2025,2024-09-01,3,Newcastle,Tottenham,2,1,H
2024-2025,2024-09-01,3,Man United,Liverpool,0,3,A
2024-2025,2024-09-14,4,Southampton,Man United,0,3,A
2024-2025,2024-09-14,4,Brighton,Ipswich,0,0,D
2024-2025,2024-09-14,4,Crystal Palace,Leicester,2,2,D
2024-2025,2024-09-14,4,Fulham,West Ham,1,1,D
2024-2025,2024-09-14,4,Liverpool,Nott'm Forest,0,1,A
2024-2025,2024-09-14,4,Man City,Brentford,2,1,H
2024-2025,2024-09-14,4,Aston Villa,Everton,3,2,H
2024-2025,2024-09-14,4,Bournemouth,Chelsea,0,1,A
2024-2025,2024-09-15,4,Tottenham,Arsenal,0,1,A
2024-2025,2024-09-15,4,Wolves,Newcastle,1,2,A
2024-2025,2024-09-21,5,West Ham,Chelsea,0,3,A
2024-2025,2024-09-21,5,Aston Villa,Wolves,3,1,H
2024-2025,2024-09-21,5,Fulham,Newcastle,3,1,H
2024-2025,2024-09-21,5,Leicester,Everton,1,1,D
2024-2025,2024-09-21,5,Liverpool,Bournemouth,3,0,H
2024-2025,2024-09-21,5,Southampton,Ipswich,1,1,D
2024-2025,2024-09-21,5,Tottenham,Brentford,3,1,H
2024-2025,2024-09-21,5,Crystal Palace,Man United,0,0,D
2024-2025,2024-09-22,5,Brighton,Nott'm Forest,2,2,D
2024-2025,2024-09-22,5,Man City,Arsenal,2,2,D
2024-2025,2024-09-28,6,Newcastle,Man City,1,1,D
2024-2025,2024-09-28,6,Arsenal,Leicester,4,2,H
2024-2025,2024-09-28,6,Brentford,West Ham,1,1,D
2024-2025,2024-09-28,6,Chelsea,Brighton,4,2,H
2024-2025,2024-09-28,6,Everton,Crystal Palace,2,1,H
2024-2025,2024-09-28,6,Nott'm Forest,Fulham,0,1,A
2024-2025,2024-09-28,6,Wolves,Liverpool,1,2,A
2024-2025,2024-09-29,6,Ipswich,Aston Villa,2,2,D
2024-2025,2024-09-29,6,Man United,Tottenham,0,3,A
2024-2025,2024-09-30,6,Bournemouth,Southampton,3,1,H
2024-2025,2024-10-05,7,Crystal Palace,Liverpool,0,1,A
2024-2025,2024-10-05,7,Arsenal,Southampton,3,1,H
2024-2025,2024-10-05,7,Brentford,Wolves,5,3,H
2024-2025,2024-10-05,7,Leicester,Bournemouth,1,0,H
2024-2025,2024-10-05,7,Man City,Fulham,3,2,H
2024-2025,2024-10-05,7,West Ham,Ipswich,4,1,H
2024-2025,2024-10-05,7,Everton,Newcastle,0,0,D
2024-2025,2024-10-06,7,Aston Villa,Man United,0,0,D
2024-2025,2024-10-06,7,Chelsea,Nott'm Forest,1,1,D
2024-2025,2024-10-06,7,Brighton,Tottenham,3,2,H
2024-2025,2024-10-19,8,Tottenham,West Ham,4,1,H
2024-2025,2024-10-19,8,Fulham,Aston Villa,1,3,A
2024-2025,2024-10-19,8,Ipswich,Everton,0,2,A
2024-2025,2024-10-19,8,Man United,Brentford,2,1,H
2024-2025,2024-10-19,8,Newcastle,Brighton,0,1,A
2024-2025,2024-10-19,8,Southampton,Leicester,2,3,A
2024-2025,2024-10-19,8,Bournemouth,Arsenal,2,0,H
2024-2025,2024-10-20,8,Wolves,Man City,1,2,A
2024-2025,2024-10-20,8,Liverpool,Chelsea,2,1,H
2024-2025,2024-10-21,8,Nott'm Forest,Crystal Palace,1,0,H
2024-2025,2024-10-25,9,Leicester,Nott'm Forest,1,3,A
2024-2025,2024-10-26,9,Aston Villa,Bournemouth,1,1,D
2024-2025,2024-10-26,9,Brentford,Ipswich,4,3,H
2024-2025,2024-10-26,9,Brighton,Wolves,2,2,D
2024-2025,2024-10-26,9,Man City,Southampton,1,0,H
2024-2025,2024-10-26,9,Everton,Fulham,1,1,D
2024-2025,2024-10-27,9,Chelsea,Newcastle,2,1,H
2024-2025,2024-10-27,9,Crystal Palace,Tottenham,1,0,H
2024-2025,2024-10-27,9,West Ham,Man United,2,1,H
2024-2025,2024-10-27,9,Arsenal,Liverpool,2,2,D
2024-2025,2024-11-02,10,Newcastle,Arsenal,1,0,H
2024-2025,2024-11-02,10,Bournemouth,Man City,2,1,H
2024-2025,2024-11-02,10,Ipswich,Leicester,1,1,D
2024-2025,2024-11-02,10,Liverpool,Brighton,2,1,H
2024-2025,2024-11-02,10,Nott'm Forest,West Ham,3,0,H
2024-2025,2024-11-02,10,Southampton,Everton,1,0,H
2024-2025,2024-11-02,10,Wolves,Crystal Palace,2,2,D
2024-2025,2024-11-03,10,Tottenham,Aston Villa,4,1,H
2024-2025,2024-11-03,10,Man United,Chelsea,1,1,D
2024-2025,2024-11-04,10,Fulham,Brentford,2,1,H
2024-2025,2024-11-09,11,Wolves,Southampton,2,0,H
2024-2025,2024-11-09,11,Brighton,Man City,2,1,H
2024-2025,2024-11-09,11,Liverpool,Aston Villa,2,0,H
2024-2025,2024-11-09,11,Brentford,Bournemouth,3,2,H
2024-2025,2024-11-09,11,Crystal Palace,Fulham,0,2,A
2024-2025,2024-11-09,11,West Ham,Everton,0,0,D
2024-2025,2024-11-10,11,Man United,Leicester,3,0,H
2024-2025,2024-11-10,11,Nott'm Forest,Newcastle,1,3,A
2024-2025,2024-11-10,11,Tottenham,Ipswich,1,2,A
2024-2025,2024-11-10,11,Chelsea,Arsenal,1,1,D
2024-2025,2024-11-23,12,Leicester,Chelsea,1,2,A
2024-2025,2024-11-23,12,Arsenal,Nott'm Forest,3,0,H
2024-2025,2024-11-23,12,Aston Villa,Crystal Palace,2,2,D
2024-2025,2024-11-23,12,Bournemouth,Brighton,1,2,A
2024-2025,2024-11-23,12,Everton,Brentford,0,0,D
2024-2025,2024-11-23,12,Fulham,Wolves,1,4,A
2024-2025,2024-11-23,12,Man City,Tottenham,0,4,A
2024-2025,2024-11-24,12,Southampton,Liverpool,2,3,A
2024-2025,2024-11-24,12,Ipswich,Man United,1,1,D
2024-2025,2024-11-25,12,Newcastle,West Ham,0,2,A
2024-2025,2024-11-29,13,Brighton,Southampton,1,1,D
2024-2025,2024-11-30,13,Brentford,Leicester,4,1,H
2024-2025,2024-11-30,13,Crystal Palace,Newcastle,1,1,D
2024-2025,2024-11-30,13,Nott'm Forest,Ipswich,1,0,H
2024-2025,2024-11-30,13,Wolves,Bournemouth,2,4,A
2024-2025,2024-11-30,13,West Ham,Arsenal,2,5,A
2024-2025,2024-12-01,13,Chelsea,Aston Villa,3,0,H
2024-2025,2024-12-01,13,Man United,Everton,4,0,H
2024-2025,2024-12-01,13,Tottenham,Fulham,1,1,D
2024-2025,2024-12-01,13,Liverpool,Man City,2,0,H
2024-2025,2024-12-03,14,Ipswich,Crystal Palace,0,1,A
2024-2025,2024-12-03,14,Leicester,West Ham,3,1,H
2024-2025,2024-12-04,14,Everton,Wolves,4,0,H
2024-2025,2024-12-04,14,Man City,Nott'm Forest,3,0,H
2024-2025,2024-12-04,14,Newcastle,Liverpool,3,3,D
2024-2025,2024-12-04,14,Southampton,Chelsea,1,5,A
2024-2025,2024-12-04,14,Arsenal,Man United,2,0,H
2024-2025,2024-12-04,14,Aston Villa,Brentford,3,1,H
2024-2025,2024-12-05,14,Fulham,Brighton,3,1,H
2024-2025,2024-12-05,14,Bournemouth,Tottenham,1,0,H
2024-2025,2024-12-07,15,Aston Villa,Southampton,1,0,H
2024-2025,2024-12-07,15,Brentford,Newcastle,4,2,H
2024-2025,2024-12-07,15,Crystal Palace,Man City,2,2,D
2024-2025,2024-12-07,15,Man United,Nott'm Forest,2,3,A
2024-2025,2024-12-08,15,Fulham,Arsenal,1,1,D
2024-2025,2024-12-08,15,Ipswich,Bournemouth,1,2,A
2024-2025,2024-12-08,15,Leicester,Brighton,2,2,D
2024-2025,2024-12-08,15,Tottenham,Chelsea,3,4,A
2024-2025,2024-12-09,15,West Ham,Wolves,2,1,H
2024-2025,2024-12-14,16,Arsenal,Everton,0,0,D
2024-2025,2024-12-14,16,Liverpool,Fulham,2,2,D
2024-2025,2024-12-14,16,Newcastle,Leicester,4,0,H
2024-2025,2024-12-14,16,Wolves,Ipswich,1,2,A
2024-2025,2024-12-14,16,Nott'm Forest,Aston Villa,2,1,H
2024-2025,2024-12-15,16,Brighton,Crystal Palace,1,3,A
2024-2025,2024-12-15,16,Man City,Man United,1,2,A
2024-2025,2024-12-15,16,Chelsea,Brentford,2,1,H
2024-2025,2024-12-15,16,Southampton,Tottenham,0,5,A
2024-2025,2024-12-16,16,Bournemouth,West Ham,1,1,D
2024-2025,2024-12-21,17,Aston Villa,Man City,2,1,H
2024-2025,2024-12-21,17,Brentford,Nott'm Forest,0,2,A
2024-2025,2024-12-21,17,Ipswich,Newcastle,0,4,A
2024-2025,2024-12-21,17,West Ham,Brighton,1,1,D
2024-2025,2024-12-21,17,Crystal Palace,Arsenal,1,5,A
2024-2025,2024-12-22,17,Everton,Chelsea,0,0,D
2024-2025,2024-12-22,17,Fulham,Southampton,0,0,D
2024-2025,2024-12-22,17,Leicester,Wolves,0,3,A
2024-2025,2024-12-22,17,Man United,Bournemouth,0,3,A
2024-2025,2024-12-22,17,Tottenham,Liverpool,3,6,A
2024-2025,2024-12-26,18,Man City,Everton,1,1,D
2024-2025,2024-12-26,18,Bournemouth,Crystal Palace,0,0,D
2024-2025,2024-12-26,18,Chelsea,Fulham,1,2,A
2024-2025,2024-12-26,18,Newcastle,Aston Villa,3,0,H
2024-2025,2024-12-26,18,Nott'm Forest,Tottenham,1,0,H
2024-2025,2024-12-26,18,Southampton,West Ham,0,1,A
2024-2025,2024-12-26,18,Wolves,Man United,2,0,H
2024-2025,2024-12-26,18,Liverpool,Leicester,3,1,H
2024-2025,2024-12-27,18,Brighton,Brentford,0,0,D
2024-2025,2024-12-27,18,Arsenal,Ipswich,1,0,H
2024-2025,2024-12-29,19,Leicester,Man City,0,2,A
2024-2025,2024-12-29,19,Crystal Palace,Southampton,2,1,H
2024-2025,2024-12-29,19,Everton,Nott'm Forest,0,2,A
2024-2025,2024-12-29,19,Fulham,Bournemouth,2,2,D
2024-2025,2024-12-29,19,Tottenham,Wolves,2,2,D
2024-2025,2024-12-29,19,West Ham,Liverpool,0,5,A
2024-2025,2024-12-30,19,Man United,Newcastle,0,2,A
2024-2025,2024-12-30,19,Aston Villa,Brighton,2,2,D
2024-2025,2024-12-30,19,Ipswich,Chelsea,2,0,H
2024-2025,2025-01-01,19,Brentford,Arsenal,1,3,A
2024-2025,2025-01-04,20,Tottenham,Newcastle,1,2,A
2024-2025,2025-01-04,20,Aston Villa,Leicester,2,1,H
2024-2025,2025-01-04,20,Bournemouth,Everton,1,0,H
2024-2025,2025-01-04,20,Crystal Palace,Chelsea,1,1,D
2024-2025,2025-01-04,20,Man City,West Ham,4,1,H
2024-2025,2025-01-04,20,Southampton,Brentford,0,5,A
2024-2025,2025-01-04,20,Brighton,Arsenal,1,1,D
2024-2025,2025-01-05,20,Fulham,Ipswich,2,2,D
2024-2025,2025-01-05,20,Liverpool,Man United,2,2,D
2024-2025,2025-01-06,20,Wolves,Nott'm Forest,0,3,A
2024-2025,2025-01-14,21,Brentford,Man City,2,2,D
2024-2025,2025-01-14,21,Chelsea,Bournemouth,2,2,D
2024-2025,2025-01-14,21,West Ham,Fulham,3,2,H
2024-2025,2025-01-14,21,Nott'm Forest,Liverpool,1,1,D
2024-2025,2025-01-15,21,Everton,Aston Villa,0,1,A
2024-2025,2025-01-15,21,Leicester,Crystal Palace,0,2,A
2024-2025,2025-01-15,21,Newcastle,Wolves,3,0,H
2024-2025,2025-01-15,21,Arsenal,Tottenham,2,1,H
2024-2025,2025-01-16,21,Ipswich,Brighton,0,2,A
2024-2025,2025-01-16,21,Man United,Southampton,3,1,H
2024-2025,2025-01-18,22,Newcastle,Bournemouth,1,4,A
2024-2025,2025-01-18,22,Brentford,Liverpool,0,2,A
2024-2025,2025-01-18,22,Leicester,Fulham,0,2,A
2024-2025,2025-01-18,22,West Ham,Crystal Palace,0,2,A
2024-2025,2025-01-18,22,Arsenal,Aston Villa,2,2,D
2024-2025,2025-01-19,22,Everton,Tottenham,3,2,H
2024-2025,2025-01-19,22,Man United,Brighton,1,3,A
2024-2025,2025-01-19,22,Nott'm Forest,Southampton,3,2,H
2024-2025,2025-01-19,22,Ipswich,Man City,0,6,A
2024-2025,2025-01-20,22,Chelsea,Wolves,3,1,H
2024-2025,2025-01-25,23,Bournemouth,Nott'm Forest,5,0,H
2024-2025,2025-01-25,23,Brighton,Everton,0,1,A
2024-2025,2025-01-25,23,Liverpool,Ipswich,4,1,H
2024-2025,2025-01-25,23,Southampton,Newcastle,1,3,A
2024-2025,2025-01-25,23,Wolves,Arsenal,0,1,A
2024-2025,2025-01-25,23,Man City,Chelsea,3,1,H
2024-2025,2025-01-26,23,Crystal Palace,Brentford,1,2,A
2024-2025,2025-01-26,23,Tottenham,Leicester,1,2,A
2024-2025,2025-01-26,23,Aston Villa,West Ham,1,1,D
2024-2025,2025-01-26,23,Fulham,Man United,0,1,A
2024-2025,2025-02-01,24,Nott'm Forest,Brighton,7,0,H
2024-2025,2025-02-01,24,Bournemouth,Liverpool,0,2,A
2024-2025,2025-02-01,24,Everton,Leicester,4,0,H
2024-2025,2025-02-01,24,Ipswich,Southampton,1,2,A
2024-2025,2025-02-01,24,Newcastle,Fulham,1,2,A
2024-2025,2025-02-01,24,Wolves,Aston Villa,2,0,H
2024-2025,2025-02-02,24,Brentford,Tottenham,0,2,A
2024-2025,2025-02-02,24,Man United,Crystal Palace,0,2,A
2024-2025,2025-02-02,24,Arsenal,Man City,5,1,H
2024-2025,2025-02-03,24,Chelsea,West Ham,2,1,H
2024-2025,2025-02-12,15,Everton,Liverpool,2,2,D
2024-2025,2025-02-14,25,Brighton,Chelsea,3,0,H
2024-2025,2025-02-15,25,Leicester,Arsenal,0,2,A
2024-2025,2025-02-15,25,Aston Villa,Ipswich,1,1,D
2024-2025,2025-02-15,25,Fulham,Nott'm Forest,2,1,H
2024-2025,2025-02-15,25,Man City,Newcastle,4,0,H
2024-2025,2025-02-15,25,Southampton,Bournemouth,1,3,A
2024-2025,2025-02-15,25,West Ham,Brentford,0,1,A
2024-2025,2025-02-15,25,Crystal Palace,Everton,1,2,A
2024-2025,2025-02-16,25,Liverpool,Wolves,2,1,H
2024-2025,2025-02-16,25,Tottenham,Man United,1,0,H
2024-2025,2025-02-19,29,Aston Villa,Liverpool,2,2,D
2024-2025,2025-02-21,26,Leicester,Brentford,0,4,A
2024-2025,2025-02-22,26,Everton,Man United,2,2,D
2024-2025,2025-02-22,26,Arsenal,West Ham,0,1,A
2024-2025,2025-02-22,26,Bournemouth,Wolves,0,1,A
2024-2025,2025-02-22,26,Fulham,Crystal Palace,0,2,A
2024-2025,2025-02-22,26,Ipswich,Tottenham,1,4,A
2024-2025,2025-02-22,26,Southampton,Brighton,0,4,A
2024-2025,2025-02-22,26,Aston Villa,Chelsea,2,1,H
2024-2025,2025-02-23,26,Newcastle,Nott'm Forest,4,3,H
2024-2025,2025-02-23,26,Man City,Liverpool,0,2,A
2024-2025,2025-02-25,27,Brighton,Bournemouth,2,1,H
2024-2025,2025-02-25,27,Crystal Palace,Aston Villa,4,1,H
2024-2025,2025-02-25,27,Wolves,Fulham,1,2,A
2024-2025,2025-02-25,27,Chelsea,Southampton,4,0,H
2024-2025,2025-02-26,27,Brentford,Everton,1,1,D
2024-2025,2025-02-26,27,Man United,Ipswich,3,2,H
2024-2025,2025-02-26,27,Nott'm Forest,Arsenal,0,0,D
2024-2025,2025-02-26,27,Tottenham,Man City,0,1,A
2024-2025,2025-02-26,27,Liverpool,Newcastle,2,0,H
2024-2025,2025-02-27,27,West Ham,Leicester,2,0,H
2024-2025,2025-03-08,28,Nott'm Forest,Man City,1,0,H
2024-2025,2025-03-08,28,Brighton,Fulham,2,1,H
2024-2025,2025-03-08,28,Crystal Palace,Ipswich,1,0,H
2024-2025,2025-03-08,28,Liverpool,Southampton,3,1,H
2024-2025,2025-03-08,28,Brentford,Aston Villa,0,1,A
2024-2025,2025-03-08,28,Wolves,Everton,1,1,D
2024-2025,2025-03-09,28,Chelsea,Leicester,1,0,H
2024-2025,2025-03-09,28,Tottenham,Bournemouth,2,2,D
2024-2025,2025-03-09,28,Man United,Arsenal,1,1,D
2024-2025,2025-03-10,28,West Ham,Newcastle,0,1,A
2024-2025,2025-03-15,29,Everton,West Ham,1,1,D
2024-2025,2025-03-15,29,Ipswich,Nott'm Forest,2,4,A
2024-2025,2025-03-15,29,Man City,Brighton,2,2,D
2024-2025,2025-03-15,29,Southampton,Wolves,1,2,A
2024-2025,2025-03-15,29,Bournemouth,Brentford,1,2,A
2024-2025,2025-03-16,29,Arsenal,Chelsea,1,0,H
2024-2025,2025-03-16,29,Fulham,Tottenham,2,0,H
2024-2025,2025-03-16,29,Leicester,Man United,0,3,A
2024-2025,2025-04-01,30,Arsenal,Fulham,2,1,H
2024-2025,2025-04-01,30,Wolves,West Ham,1,0,H
2024-2025,2025-04-01,30,Nott'm Forest,Man United,1,0,H
2024-2025,2025-04-02,30,Man City,Leicester,2,0,H
2024-2025,2025-04-02,30,Bournemouth,Ipswich,1,2,A
2024-2025,2025-04-02,30,Brighton,Aston Villa,0,3,A
2024-2025,2025-04-02,30,Newcastle,Brentford,2,1,H
2024-2025,2025-04-02,30,Southampton,Crystal Palace,1,1,D
2024-2025,2025-04-02,30,Liverpool,Everton,1,0,H
2024-2025,2025-04-03,30,Chelsea,Tottenham,1,0,H
2024-2025,2025-04-05,31,Everton,Arsenal,1,1,D
2024-2025,2025-04-05,31,Crystal Palace,Brighton,2,1,H
2024-2025,2025-04-05,31,Ipswich,Wolves,1,2,A
2024-2025,2025-04-05,31,West Ham,Bournemouth,2,2,D
2024-2025,2025-04-05,31,Aston Villa,Nott'm Forest,2,1,H
2024-2025,2025-04-06,31,Brentford,Chelsea,0,0,D
2024-2025,2025-04-06,31,Fulham,Liverpool,3,2,H
2024-2025,2025-04-06,31,Tottenham,Southampton,3,1,H
2024-2025,2025-04-06,31,Man United,Man City,0,0,D
2024-2025,2025-04-07,31,Leicester,Newcastle,0,3,A
2024-2025,2025-04-12,32,Man City,Crystal Palace,5,2,H
2024-2025,2025-04-12,32,Brighton,Leicester,2,2,D
2024-2025,2025-04-12,32,Nott'm Forest,Everton,0,1,A
2024-2025,2025-04-12,32,Southampton,Aston Villa,0,3,A
2024-2025,2025-04-12,32,Arsenal,Brentford,1,1,D
2024-2025,2025-04-13,32,Chelsea,Ipswich,2,2,D
2024-2025,2025-04-13,32,Liverpool,West Ham,2,1,H
2024-2025,2025-04-13,32,Wolves,Tottenham,4,2,H
2024-2025,2025-04-13,32,Newcastle,Man United,4,1,H
2024-2025,2025-04-14,32,Bournemouth,Fulham,1,0,H
2024-2025,2025-04-16,29,Newcastle,Crystal Palace,5,0,H
2024-2025,2025-04-19,33,Brentford,Brighton,4,2,H
2024-2025,2025-04-19,33,Crystal Palace,Bournemouth,0,0,D
2024-2025,2025-04-19,33,Everton,Man City,0,2,A
2024-2025,2025-04-19,33,West Ham,Southampton,1,1,D
2024-2025,2025-04-19,33,Aston Villa,Newcastle,4,1,H
2024-2025,2025-04-20,33,Fulham,Chelsea,1,2,A
2024-2025,2025-04-20,33,Ipswich,Arsenal,0,4,A
2024-2025,2025-04-20,33,Man United,Wolves,0,1,A
2024-2025,2025-04-20,33,Leicester,Liverpool,0,1,A
2024-2025,2025-04-21,33,Tottenham,Nott'm Forest,1,2,A
2024-2025,2025-04-22,34,Man City,Aston Villa,2,1,H
2024-2025,2025-04-23,34,Arsenal,Crystal Palace,2,2,D
2024-2025,2025-04-26,34,Chelsea,Everton,1,0,H
2024-2025,2025-04-26,34,Brighton,West Ham,3,2,H
2024-2025,2025-04-26,34,Newcastle,Ipswich,3,0,H
2024-2025,2025-04-26,34,Southampton,Fulham,1,2,A
2024-2025,2025-04-26,34,Wolves,Leicester,3,0,H
2024-2025,2025-04-27,34,Bournemouth,Man United,1,1,D
2024-2025,2025-04-27,34,Liverpool,Tottenham,5,1,H
2024-2025,2025-05-01,34,Nott'm Forest,Brentford,0,2,A
2024-2025,2025-05-02,35,Man City,Wolves,1,0,H
2024-2025,2025-05-03,35,Aston Villa,Fulham,1,0,H
2024-2025,2025-05-03,35,Everton,Ipswich,2,2,D
2024-2025,2025-05-03,35,Leicester,Southampton,2,0,H
2024-2025,2025-05-03,35,Arsenal,Bournemouth,1,2,A
2024-2025,2025-05-04,35,Brentford,Man United,4,3,H
2024-2025,2025-05-04,35,Brighton,Newcastle,1,1,D
2024-2025,2025-05-04,35,West Ham,Tottenham,1,1,D
2024-2025,2025-05-04,35,Chelsea,Liverpool,3,1,H
2024-2025,2025-05-05,35,Crystal Palace,Nott'm Forest,1,1,D
2024-2025,2025-05-10,36,Fulham,Everton,1,3,A
2024-2025,2025-05-10,36,Ipswich,Brentford,0,1,A
2024-2025,2025-05-10,36,Southampton,Man City,0,0,D
2024-2025,2025-05-10,36,Wolves,Brighton,0,2,A
2024-2025,2025-05-10,36,Bournemouth,Aston Villa,0,1,A
2024-2025,2025-05-11,36,Newcastle,Chelsea,2,0,H
2024-2025,2025-05-11,36,Man United,West Ham,0,2,A
2024-2025,2025-05-11,36,Nott'm Forest,Leicester,2,2,D
2024-2025,2025-05-11,36,Tottenham,Crystal Palace,0,2,A
2024-2025,2025-05-11,36,Liverpool,Arsenal,2,2,D
2024-2025,2025-05-16,37,Aston Villa,Tottenham,2,0,H
2024-2025,2025-05-16,37,Chelsea,Man United,1,0,H
2024-2025,2025-05-18,37,Everton,Southampton,2,0,H
2024-2025,2025-05-18,37,West Ham,Nott'm Forest,1,2,A
2024-2025,2025-05-18,37,Brentford,Fulham,2,3,A
2024-2025,2025-05-18,37,Leicester,Ipswich,2,0,H
2024-2025,2025-05-18,37,Arsenal,Newcastle,1,0,H
2024-2025,2025-05-19,37,Brighton,Liverpool,3,2,H
2024-2025,2025-05-20,37,Crystal Palace,Wolves,4,2,H
2024-2025,2025-05-20,37,Man City,Bournemouth,3,1,H
2024-2025,2025-05-25,38,Bournemouth,Leicester,2,0,H
2024-2025,2025-05-25,38,Fulham,Man City,0,2,A
2024-2025,2025-05-25,38,Ipswich,West Ham,1,3,A
2024-2025,2025-05-25,38,Liverpool,Crystal Palace,1,1,D
2024-2025,2025-05-25,38,Man United,Aston Villa,2,0,H
2024-2025,2025-05-25,38,Newcastle,Everton,0,1,A
2024-2025,2025-05-25,38,Nott'm Forest,Chelsea,0,1,A
2024-2025,2025-05-25,38,Southampton,Arsenal,1,2,A
2024-2025,2025-05-25,38,Tottenham,Brighton,1,4,A
2024-2025,2025-05-25,38,Wolves,Brentford,1,1,D
